Manufacturer,Model,Vehicle_class,Vehicle_alt_class,US_vehicle_type,Engine_size (litres),Horsepower,Wheelbase,Width,Length,Height,Curb_weight,Fuel_capacity,Fuel_efficiency
Acura,Integra,Coupe,Sports,Passenger,1.8,140,101.2,67.3,172.4,52.6,2.639,13.2,28
Acura,TL,Sedan,,Passenger,3.2,225,108.1,70.3,192.9,56.1,3.517,17.2,25
Acura,CL,Coupe,,Passenger,3.2,225,106.9,70.6,192,54.7,3.47,17.2,26
Acura,RL,Sedan,,Passenger,3.5,210,114.6,71.4,196.6,56.5,3.85,18,22
Audi,A4,Sedan,,Passenger,1.8,150,103,68.2,178,55.7,2.998,16.4,27
Audi,A6,Sedan,,Passenger,2.8,200,108.7,71.3,188.8,57.2,3.561,18.5,22
Audi,A8,Sedan,,Passenger,4.2,310,113.5,74,198.2,56.6,3.902,23.7,21
BMW,323i,Sedan,,Passenger,2.5,170,107.3,68.4,176,55.9,3.179,16.6,26
BMW,328i,Sedan,,Passenger,2.8,193,107.3,68.5,176,55.9,3.197,16.6,24
BMW,528i,Sedan,,Passenger,2.8,193,111.4,70.9,188,56.5,3.472,18.5,25
Buick,Century,Sedan,,Passenger,3.1,175,109,72.7,194.6,56.6,3.368,17.5,25
Buick,Regal,Sedan,,Passenger,3.8,240,109,72.7,196.2,56.6,3.543,17.5,23
Buick,Park Avenue,Sedan,,Passenger,3.8,205,113.8,74.7,206.8,57.4,3.778,18.5,24
Buick,LeSabre,Sedan,,Passenger,3.8,205,112.2,73.5,200,57,3.591,17.5,25
Cadillac,DeVille,Sedan,,Passenger,4.6,275,115.3,74.5,207.2,56.7,3.978,18.5,22
Cadillac,Seville,Sedan,,Passenger,4.6,275,112.2,75,201,55.4,,18.5,22
Cadillac,Eldorado,Coupe,,Passenger,4.6,275,108,75.5,200.6,53.6,3.843,19,22
Cadillac,Catera,Sedan,,Passenger,3,200,107.5,70.3,192.2,56.4,3.77,18,22
Cadillac,Escalade,SUV,,Car,5.7,255,117.5,77,201.2,74.3,5.572,30,15
Chevrolet,Cavalier,Sedan,,Passenger,2.2,115,104.1,68.7,180.9,53,2.676,14.3,27
Chevrolet,Malibu,Sedan,,Passenger,3.1,170,107,69.4,190.4,56.7,3.051,15,25
Chevrolet,Lumina,Sedan,,Passenger,3.1,175,107.5,72.5,200.9,54.8,3.33,16.6,25
Chevrolet,Monte Carlo,Coupe,,Passenger,3.4,180,110.5,72.7,197.9,55.2,3.34,17,27
Chevrolet,Camaro,Coupe,Sports,Passenger,3.8,200,101.1,74.1,193.2,51.3,3.5,16.8,25
Chevrolet,Corvette,Coupe,Sports,Passenger,5.7,345,104.5,73.6,179.7,104.5,3.21,19.1,22
Chevrolet,Prizm,Sedan,,Passenger,1.8,120,97.1,66.7,174.3,53.7,2.398,13.2,33
Chevrolet,Metro,Sedan,,Passenger,1,55,93.1,62.6,149.4,55.4,1.895,10.3,45
Chevrolet,Impala,Sedan,,Passenger,3.4,180,110.5,73,200,57.5,3.389,17,27
Chrysler,Sebring Coupe,Coupe,,Passenger,2.5,163,103.7,69.7,190.9,53.3,2.967,15.9,24
Chrysler,Sebring Conv.,Coupe,,Passenger,2.5,168,106,69.2,193,54.8,3.332,16,24
Chrysler,Concorde,Sedan,,Passenger,2.7,200,113,74.4,209.1,55.9,3.452,17,26
Chrysler,Cirrus,Sedan,,Passenger,2,132,108,71,186,54.1,2.911,16,27
